#EXPORTTYPE:DATA ALL
#FILE:PbSe 2 3-30-18 700.ngb-ds1
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:PbSe
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F1
#PROJECT:
#DATE/TIME:30.03.2018 13:16
#CORR. FILE:PbSe correction 3-29-18 700C.ngb-bs1
#TEMPCAL:Peter Mouche Cal 1 9-10-2013.ngb-ts1
#SENSITIVITY:Peter Mouche Cal 9-10-2013.ngb-es1
#LABORATORY:
#OPERATOR:
#REMARK:
#SAMPLE:2
#SAMPLE MASS /mg:15.9
#MATERIAL:
#REFERENCE:empty crucible
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#DSC RANGE /µV:5000
#TG RANGE /mg:5000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:30°C/5.0(K/min)/90°C/10.0(K/min)/700°C/
#SEGMENT:S1-2/2
#SEG. 1:30°C/5.0(K/min)/90°C
#SEG. 2:90°C/10.0(K/min)/700°C

##Temp./°C;Time/min;DSC/(mW/mg);Mass loss/mg;Gas Flow(purge1)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 25.03400; 0.00000; 4.1712e-002; 0.0000e+000;20.00000;30.00000;0.95708;1
 25.39348; 0.25000; 4.4280e-002;-1.2350e-002;20.00000;30.00000;0.95686;1
 25.75825; 0.50000; 4.5043e-002;-2.4300e-002;20.00000;30.00000;0.95663;1
 26.13610; 0.75000; 4.4452e-002;-3.3575e-002;20.00000;30.00000;0.95640;1
 26.53701; 1.00000; 4.4313e-002;-4.1950e-002;20.00000;30.00000;0.95615;1
 26.96801; 1.25000; 4.3070e-002;-5.3000e-002;20.00000;30.00000;0.95588;1
 27.43496; 1.50000; 4.1878e-002;-6.2200e-002;20.00000;30.00000;0.95559;1
 27.95684; 1.75000; 4.1390e-002;-7.0800e-002;20.00000;30.00000;0.95526;1
 28.52656; 2.00000; 4.0551e-002;-8.2600e-002;20.00000;30.00000;0.95491;1
 29.13889; 2.25000; 3.9763e-002;-9.4025e-002;20.00000;30.00000;0.95452;1
 29.79993; 2.50000; 4.0434e-002;    -0.10523;20.00000;30.00000;0.95411;1
 30.51065; 2.75000; 4.0755e-002;    -0.11718;20.00000;30.00000;0.95366;1
 31.26488; 3.00000; 3.9920e-002;    -0.12885;20.00000;30.00000;0.95319;1
 32.06235; 3.25000; 3.9739e-002;    -0.14083;20.00000;30.00000;0.95269;1
 32.91781; 3.50000; 3.9510e-002;    -0.15468;20.00000;30.00000;0.95215;1
